DATAFLOW,LAST UPDATE,freq,na_item,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DE,2021-Q1,858249.0,p
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DE,2021-Q2,875577.0,p
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DE,2021-Q3,910936.0,p
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DE,2021-Q4,917223.0,p
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DE,2022-Q1,925061.0,p
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2019-Q2,77517.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2019-Q3,78267.7,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2019-Q4,78167.8,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2020-Q1,78838.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2020-Q2,74530.8,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2020-Q3,79530.2,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2020-Q4,79616.5,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2021-Q1,79704.7,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2021-Q2,82430.3,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2021-Q3,84634.3,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2021-Q4,88934.4,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,DK,2022-Q1,90365.4,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2019-Q2,2989169.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2019-Q3,3009058.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2019-Q4,3024407.7,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2020-Q1,2929402.9,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2020-Q2,2618626.6,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2020-Q3,2920145.1,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2020-Q4,2928568.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2021-Q1,2946230.3,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2021-Q2,3018092.1,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2021-Q3,3122368.7,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA,2021-Q4,3157479.8,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2019-Q2,2989169.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2019-Q3,3009058.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2019-Q4,3024407.7,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2020-Q1,2929402.9,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2020-Q2,2618626.6,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2020-Q3,2920145.1,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2020-Q4,2928568.0,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2021-Q1,2946230.3,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2021-Q2,3018092.1,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2021-Q3,3122368.7,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EA19,2021-Q4,3157479.8,
ESTAT:TEINA010(1.0),03/06/22 23:00:00,Q,B1GQ,SCA,MIO_EUR_SCA,EE,2019-Q2,6910.3,
